block,gas_used,gas_limit,pct_full,tx_count,timestamp
23807742,4909191,44999957,10.91,78,1763247827
23807743,32613760,45043901,72.4,184,1763247839
23807748,8065952,44999914,17.92,109,1763247899
23807752,42698165,45000000,94.88,243,1763247947
23807756,38916340,45087888,86.31,208,1763247995
23807760,44984342,45175948,99.58,197,1763248043
23807762,15606284,45087759,34.61,143,1763248067
23807765,14413769,45043687,32.0,112,1763248103
23807768,38993634,45087630,86.48,161,1763248139
23807784,17881056,44956013,39.77,138,1763248331
23807787,9781376,45087845,21.69,129,1763248367
23807792,3210163,45000000,7.13,63,1763248427
23807797,38113812,44999957,84.7,196,1763248487
23807803,38039435,45087931,84.37,163,1763248559
23807805,19307106,45087888,42.82,167,1763248583
23807815,14319451,44999699,31.82,160,1763248703
23807818,18792039,45043599,41.72,136,1763248739
23807822,26487484,45043513,58.8,185,1763248787
23807833,11470735,44999957,25.49,130,1763248919
23807839,39620427,44999828,88.05,184,1763248991
23807842,15564242,45043729,34.55,179,1763249027
23807851,26839210,45000000,59.64,202,1763249135
23807853,11354441,44999957,25.23,110,1763249159
23807854,29306948,45043901,65.06,141,1763249171
23807859,15706498,45087931,34.84,158,1763249231
23807860,41646230,45131961,92.28,169,1763249243
23807864,12031554,45131875,26.66,164,1763249291
23807868,24425593,45043944,54.23,177,1763249339
23807880,44979930,45000000,99.96,112,1763249483
23807897,13386888,45000000,29.75,129,1763249687
23807898,45032656,45043944,99.97,151,1763249699
23807899,4489809,45087931,9.96,59,1763249711
23807905,11143874,44956056,24.79,145,1763249783
23807908,34800788,45043944,77.26,180,1763249819
23807911,35679814,44999914,79.29,213,1763249855
23807913,18281851,45043944,40.59,183,1763249879
23807918,9004482,45000000,20.01,130,1763249939
23807932,38713456,45000000,86.03,139,1763250107
23807939,6932995,45087888,15.38,97,1763250191
23807942,1371794,45000000,3.05,27,1763250227
23807943,44997260,45000000,99.99,449,1763250239
23807944,32524261,45043944,72.21,138,1763250251
23807949,36916558,44999957,82.04,205,1763250311
23807950,18636891,44956013,41.46,152,1763250323
23807956,33317014,45087931,73.89,168,1763250395
23807959,13765908,45131918,30.5,156,1763250431
23807961,18978634,45043815,42.13,158,1763250455
23807965,11204672,45000000,24.9,121,1763250503
23807974,19206888,44999871,42.68,185,1763250611
23807975,9750843,45043815,21.65,98,1763250623
23807976,35213204,45000000,78.25,210,1763250635
23807983,26135338,45087845,57.97,131,1763250719
23807993,2561187,45175774,5.67,40,1763250839
23807994,45217585,45219889,99.99,175,1763250851
23807996,5992722,45219846,13.25,100,1763250875
23807999,22227933,45087500,49.3,203,1763250911
23808001,29217118,45087457,64.8,244,1763250935
23808006,21122513,45043342,46.89,185,1763250995
23808007,35392097,44999356,78.65,130,1763251007
23808012,6431074,45043213,14.28,103,1763251067
23808033,12338250,44956013,27.45,171,1763251319
23808034,31749299,44912112,70.69,150,1763251331
23808039,25622297,44955884,56.99,202,1763251391
23808042,10021504,44999742,22.27,171,1763251427
23808043,35060751,45043686,77.84,197,1763251439
